petrol
2023	4
2022	5
2021	5
2020	51
2019	352
2018	394
2017	432
2016	429
2015	278
2014	202
2013	203
2012	199
2011	200
2010	184
2009	133
2008	107
2007	96
2006	71
2005	54
2004	41
2003	27
2002	16
2001	6
2000	12
1999	11
1998	9
1997	9
1996	2
1995	1
1994	1

DIESEL
2023	1
2022	2
2021	2
2020	20
2019	224
2018	407
2017	569
2016	421
2015	493
2014	414
2013	460
2012	407
2011	362
2010	179
2009	98
2008	90
2007	73
2006	30
2005	22
2004	10
2003	10
2002	3
2000	3
1999	3
1994	1

CNG
2020	3
2019	7
2018	5
2017	9
2016	6
2015	2
2014	4
2013	3
2012	5
2011	4
2010	3
2008	1
2000	1
